Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal,DetailLink,Description
11/10/2011 00:00:00,Fluor Expands Teaming Arrangement with GE Hitachi in Europe for Potential Nuclear Power Project in Finland,
11/07/2011 00:00:00,Fluor Acquires Texas-based Sulfur Technology Company,
11/04/2011 00:00:00,Fluor Adds Alan Bennett to Board of Directors,
11/03/2011 00:00:00,Fluor Corporation Announces New Share Repurchase Program,
11/03/2011 00:00:00,Fluor Reports Third Quarter Results Including Record Backlog,
11/03/2011 00:00:00,Fluor Corporation Announces Quarterly Dividend,
11/03/2011 00:00:00,Fluor Venture in Qatar Wins Five-Year Comprehensive Maintenance Contract for RasGas,
11/03/2011 00:00:00,Fluor Receives Full Notice to Proceed on Contracts for Conga Mine Project in Peru,
11/01/2011 00:00:00,Fluor to Present at Baird’s 2011 Industrial Conference,
11/01/2011 00:00:00,Fluor to Provide Construction Services for Luminant’s Environmental Retrofit Program,
10/18/2011 00:00:00,Fluor Wins Offshore FEED Contract for Nasr Field in Abu Dhabi,
10/13/2011 00:00:00,Fluor Becomes Majority Investor in NuScale Power and Enters Small Modular Reactor Market,
10/06/2011 00:00:00,Fluor Corporation to Hold Third Quarter 2011 Earnings Conference Call,
10/06/2011 00:00:00,Fluor Wins Engineering Contract for New Canadian Refinery,
09/27/2011 00:00:00,Fluor Completes New Bear Garden Generating Station in Virginia,
09/15/2011 00:00:00,Fluor Teams with GE Hitachi Nuclear Energy for Nuclear New-Build in Poland,
09/09/2011 00:00:00,Fluor to Present at D.A. Davidson Tenth Annual Engineering & Construction Conference,
09/08/2011 00:00:00,Fluor Prices $500 Million Public Offering of Senior Unsecured Notes,
09/08/2011 00:00:00,Fluor Selected by LCRA for New Power Project in Texas,
09/07/2011 00:00:00,Fluor Announces Leadership Change at Savannah River,
08/29/2011 00:00:00,Fluor and Shell Hold Project Kickoff Ceremony for Malampaya Project in the Philippines,
08/17/2011 00:00:00,Fluor Awarded Caspian Pipeline Expansion Contract in Kazakhstan & Russia,
08/16/2011 00:00:00,Fluor Wins New Polymers Plant Contract in Saudi Arabia,
08/04/2011 00:00:00,Fluor Awarded Utilities and Offsites Contract for Sadara Chemical Company JV in Saudi Arabia,
08/04/2011 00:00:00,Fluor Joint Venture Awarded Expansion Contract in Australia,
08/04/2011 00:00:00,Fluor AMEC Joint Venture Reaches Final Agreement on Canadian Copper-Gold Mine Project,
08/04/2011 00:00:00,"Fluor Reports Strong Second Quarter Results, Surpassing $40 Billion in Backlog",
08/04/2011 00:00:00,Fluor Corporation Announces Quarterly Dividend,
