Date,Description,Link
05/07/2017 00:00:00,California Highway Patrol Purchases 2500 TASER X2 Smart Weapons,
21/06/2017 00:00:00,Axon Announces Intent to Partner with Washington State University to Further Ground Breaking Research on Police-Community Interactions,
20/06/2017 00:00:00,Axon Gives 'Accelerate' Attendees Exclusive First Look at New RMS Solution,
02/06/2017 00:00:00,"Second Annual 'Axon Accelerate' Conference Sells Out, Additional Seats Made Available",
24/05/2017 00:00:00,Axon Announces Clay Winn as General Manager of TASER Smart Weapon Business,
09/05/2017 00:00:00,Axon Reports 2017 First Quarter Results,
08/05/2017 00:00:00,Alameda County Sheriff's Office Changes Body-Worn Video Platform; Moves to Axon Network,
01/05/2017 00:00:00,Axon to Release First Quarter 2017 Earnings on May 9,
19/04/2017 00:00:00,Axon's National Body Camera Offer Generates Significant Interest From Police Agencies,
13/04/2017 00:00:00,Austin Police Department Secures 724 Axon Body Cameras and Unlimited Data Storage on Evidence.com,
05/04/2017 00:00:00,Axon Offers Free Body Cameras for Every Police Officer in the U.S.,
24/03/2017 00:00:00,Fredericton Police Force in Canada To Pilot Axon Body Cameras,
23/03/2017 00:00:00,TASER | Axon Announces Jawad Ahsan as Chief Financial Officer,
22/03/2017 00:00:00,"Sacramento, San Bernardino and Pittsburgh Police Deploy Cameras on the Axon Network",
21/03/2017 00:00:00,TASER | Axon Adds Key Leadership Positions from Tesla and GoPro,
02/03/2017 00:00:00,Santa Clara County Sheriff's Department and Nevada Highway Patrol To Deploy Body Cameras with Evidence.com from Axon,
28/02/2017 00:00:00,TASER Reports 2016 Fourth Quarter and Full Year Results,
27/02/2017 00:00:00,"Gun Drawn, Camera On: New Axon Signal Sidearm Alerts Body Cams From Holster",
21/02/2017 00:00:00,TASER to Release Fourth Quarter and Full Year 2016 Results on February 28,
09/02/2017 00:00:00,"TASER Makes Two Acquisitions to Create ""Axon AI""",
08/02/2017 00:00:00,The UK's Warwickshire Police and West Mercia Police Forces Deploy Axon Body Cameras Backed By Evidence.com Cloud Platform,
02/02/2017 00:00:00,US Air Force Deploys TASER X26P Smart Weapons,
30/01/2017 00:00:00,Georgia Department of Public Safety Deploys TASER X2 Smart Weapons for All Patrol Troopers,
17/01/2017 00:00:00,Australian and New Zealand Police Agencies Deploy 2585 TASER Smart Weapons,
29/12/2016 00:00:00,"Chattanooga, Chesterfield and Garland Police Departments Deploy Body Cameras with Evidence.com from Axon",
21/12/2016 00:00:00,Carousel Display of Mulitple Assets,
21/12/2016 00:00:00,Gallery Display of Many Assets,
21/12/2016 00:00:00,"Louisiana State Police Delivers Transparency, Deploying Axon Cameras to All Patrol Officers",
20/12/2016 00:00:00,San Bernardino County Sheriff's Department Deploys 1525 TASER X2 Smart Weapons,
13/12/2016 00:00:00,TASER Announces $100 Donation to Domestic Violence Shelter for Every 5 TASER Pulses Sold During Holidays,
08/12/2016 00:00:00,Massachusetts State Police and California Highway Patrol Order TASER X2 Smart Weapons,
02/12/2016 00:00:00,TASER to Participate at Imperial Capital 13th Annual Security Investor Conference,
01/12/2016 00:00:00,TASER Filing Invalidity Challenges to Digital Ally's Patents in U.S.P.T.O.,
01/12/2016 00:00:00,New Axon Signal Magazine Connects TASER Smart Weapons To Wearable Cameras,
09/11/2016 00:00:00,TASER Reports 2016 Third Quarter Results,
07/11/2016 00:00:00,"After Extensive Testing, Seattle Police Department Selects TASER's Axon Platform for Cameras and Software",
25/10/2016 00:00:00,Former Leader of iLife / iTunes Team at Apple Joins TASER,
25/10/2016 00:00:00,TASER to Release Third Quarter 2016 Earnings on November 9,
17/10/2016 00:00:00,TASER Turns Heads at IACP 2016 with Virtual Reality Experience; Releases Cutting Edge VR Through Mobile App,
13/10/2016 00:00:00,"TASER Welcomes Vievu's Offer to Match TASER's Gift of 1,000 Body Cameras to the NYPD",
13/10/2016 00:00:00,Axon Announces Global Transcription Services Platform for Law Enforcement,
12/10/2016 00:00:00,Dr. Matthew R. McBrady Joins TASER Board of Directors,
11/10/2016 00:00:00,Axon Flex 2 HD Camera Brings Breakthrough Flexibility & Durability to Point-of-View Cams,
04/10/2016 00:00:00,Kentucky State Police Deploys 900 TASER X2 Smart Weapons,
29/09/2016 00:00:00,Las Vegas Metropolitan Police Deploys 1604 TASER X26P Smart Weapons,
27/09/2016 00:00:00,Northern Territory Police Deploys 820 Axon Body Cameras on Evidence.com in Australia,
26/09/2016 00:00:00,El Paso County Sheriff's Office Deploys Axon Body 2 Cameras and TASER X26P Smart Weapons,
22/09/2016 00:00:00,Florida Fish and Wildlife Conservation Commission Deploys 850 TASER X2 Smart Weapons,
21/09/2016 00:00:00,"Atlanta Police Department To Deploy 1,015 Axon Body Cameras and Unlimited Data Storage on Evidence.com",
14/09/2016 00:00:00,"Cincinnati Police Department Secures 1,050 Axon Body 2 Cameras",
06/09/2016 00:00:00,Axon Public Safety Canada Inc. Partners with Canadian Centre of Public Safety Excellence,
01/09/2016 00:00:00,TASER and PoliceOne.com Announce Third Annual RISE Award Winners,
11/08/2016 00:00:00,Durham Regional Police Service First in Ontario to Pilot Axon Mobile Application to Capture Digital Evidence in The Field,
05/08/2016 00:00:00,"TASER to Participate at Oppenheimer 19th Annual Technology, Internet & Communications Conference",
04/08/2016 00:00:00,TASER Reports 2016 Second Quarter Results,
28/07/2016 00:00:00,"Georgia Department of Community Supervision Deploys 1,210 TASER X26P Smart Weapons",
26/07/2016 00:00:00,TASER to Release Second Quarter 2016 Earnings on August 4,
20/07/2016 00:00:00,Queensland First Australian Police Service to Deploy 2700 Axon Body Cameras on Evidence.com Cloud Solution,
20/07/2016 00:00:00,Ventura County Sheriff's Office Deploys 325 Axon Body 2 Cameras and TASER X2 Smart Weapons,
13/07/2016 00:00:00,Minneapolis Police Department Deploys 628 Axon Body 2 Cameras and TASER X2 Smart Weapons Standard To All Patrol Officers,
13/07/2016 00:00:00,San Jose Police Department to Deploy 963 Axon Body 2 Cameras on Evidence.com,
30/06/2016 00:00:00,"Los Angeles Police Department To Deploy Axon Cameras and TASER Devices Standard to All 7,000 Front Line Officers",
29/06/2016 00:00:00,"TASER Announces Strategic Partnership Between Axon and Cradlepoint, Leader in Connected In-Vehicle Solutions",
28/06/2016 00:00:00,"Jacksonville Sheriff's Office Deploys 2,500 TASER X26P Smart Weapons",
14/06/2016 00:00:00,TASER Announces Third Annual RISE Awards to Recognize Heroes in Law Enforcement,
13/06/2016 00:00:00,TASER Hosts Inaugural User Conference For Axon Customers This Week In Phoenix,
10/06/2016 00:00:00,The UK's West Midlands Police Deploys 1600 Axon Body 2 Cameras Backed By Evidence.com Cloud Platform,
18/05/2016 00:00:00,"Montréal Police Service First Agency in Canada to Pilot Axon Body Cameras on Canadian Cloud, Evidence.com",
10/05/2016 00:00:00,"TASER International, Inc. to Host Analyst and Investor Day on May 16, 2016",
05/05/2016 00:00:00,Chicago PD Deploys X2 Smart Weapons and Axon Body 2 Cameras Connected to Evidence.com Cloud Platform,
04/05/2016 00:00:00,TASER Reports 2016 First Quarter Results,
27/04/2016 00:00:00,TASER to Release First Quarter 2016 Earnings on May 4,
29/02/2016 00:00:00,TASER Reports Record Quarterly Revenue of $56.0 million,
12/02/2016 00:00:00,TASER to Release Fourth Quarter 2015 Earnings on February 29,
02/02/2016 00:00:00,"TASER Announces Partnership With Amped Software, Premier Provider of Forensic Video Enhancement Solutions",
21/01/2016 00:00:00,"DC, Baltimore County and Omaha Police Departments to Deploy Axon Body Cameras and Evidence.com from TASER",
20/01/2016 00:00:00,TASER Announces Numerous Weapons Orders,
19/01/2016 00:00:00,"TASER Debuts New Self-Defense Weapon, TASER Pulse, at SHOT Show 2016",
19/01/2016 00:00:00,TASER Responds to Digital Ally Patent Infringement Lawsuit,
22/12/2015 00:00:00,Axon Launches Holiday Campaign To Celebrate Law Enforcement and Other Individuals Working Toward Building Stronger Communities,
21/12/2015 00:00:00,Toronto Police Service Deploys 450 TASER X2 Smart Weapons,
10/12/2015 00:00:00,"DeKalb County Sheriff, Scottsdale and Daytona Beach Police Departments to Deploy Axon Body Cameras and Evidence.com",
04/12/2015 00:00:00,"Greater Manchester Police To Deploy 3,000 Body Cameras on Axon Technology Platform From TASER",
24/11/2015 00:00:00,"TASER Wins Major Bid to Outfit 22,000 London Metropolitan Police Officers with Axon Body Cameras",
10/11/2015 00:00:00,Riverside County Sheriff's Office Deploys 400 TASER X2 Smart Weapons,
03/11/2015 00:00:00,TASER Receives Largest Body Camera Order To Date From The San Antonio Police Department,
03/11/2015 00:00:00,TASER Reports Record Quarterly Revenue of $50.4 million,
26/10/2015 00:00:00,TASER International and Microsoft Corp. Announce Partnership to Deliver a Trusted Cloud Platform for Law Enforcement,
25/10/2015 00:00:00,"TASER Disrupts In-Car Video Market With Axon Fleet, An HD In-Car Video Solution for $499",
23/10/2015 00:00:00,TASER Introduces Next Generation Axon Body 2 Camera with Unlimited HD,
21/10/2015 00:00:00,"TASER Expands Axon Platform With Interview Room Solution, Now Unifying Police Agency's Digital Evidence",
13/10/2015 00:00:00,"Florida Highway Patrol Deploys 2,050 TASER X2 Smart Weapons",
09/10/2015 00:00:00,"Orange County Sheriff's Office, Tempe and Denver Police Departments Deploy Axon Body Cameras with Evidence.com from TASER",
06/10/2015 00:00:00,TASER to Release Third Quarter 2015 Earnings on November 3,
24/09/2015 00:00:00,Memphis Police Department to Deploy 2000 Body Cameras with Axon Signal Technology from TASER,
02/09/2015 00:00:00,TASER Wins Legal Challenge to Invalidate Digital Ally Patent Claims,
24/08/2015 00:00:00,Wichita Police Department Deploys 429 Axon Flex Cameras with Evidence.com from TASER,
13/08/2015 00:00:00,TASER Launches Axon Body Camera and Digital Evidence Management Solution in Canada,
06/08/2015 00:00:00,San Jose Police Department Deploys 235 TASER X26P Smart Weapons,
30/07/2015 00:00:00,TASER Reports Quarterly Revenue of $46.7 million and EPS of $0.11,
22/07/2015 00:00:00,Montgomery County Deploys Axon Body Cameras with Evidence.com From TASER,
20/07/2015 00:00:00,TASER Acquires British Distributor TSR,
15/07/2015 00:00:00,Nassau County Police Department Deploys 1250 TASER X26P Smart Weapons,
07/07/2015 00:00:00,TASER Launches Free Evidence.com Solution For Prosecutors,
06/07/2015 00:00:00,TASER to Release Second Quarter 2015 Earnings on July 30,
30/06/2015 00:00:00,Fresno Expands Body Camera Program With Purchase of 300 Axon Flex Cameras on Evidence.com; Upgrades to 'Officer Safety Plan',
18/06/2015 00:00:00,"Dallas To Deploy 1,000 Axon Body Cameras on Evidence.com 'Ultimate' Plan",
17/06/2015 00:00:00,New Orleans Police Department Upgrades to 350 TASER X2 Smart Weapons with TASER Cam HD Recorders,
19/05/2015 00:00:00,TASER Announces 2015 RISE Award Winners; Recognizes Law Enforcement and Community Organizations Building Safer Communities,
15/05/2015 00:00:00,TASER International Announces Participation At Two Investor Conferences Upcoming In May,
13/05/2015 00:00:00,Scottsdale Police Department Upgrades to 460 TASER X2 Smart Weapons,
12/05/2015 00:00:00,Louisville Metro Police to Deploy 988 Axon Body-Worn Cameras on EVIDENCE.com and MediaSolv Solution,
05/05/2015 00:00:00,TASER to Acquire MediaSolv Corporation to Broaden Digital Evidence Management Solutions For Law Enforcement,
30/04/2015 00:00:00,TASER Reports Quarterly Revenue of $44.8 million and EPS of $0.13,
28/04/2015 00:00:00,British Transport Police Select TASER's Axon Body Cameras on EVIDENCE.com 'Pro' Plan For Proof of Concept,
20/04/2015 00:00:00,Ontario Provincial Police Purchases 1000 TASER X2 Smart Weapons,
14/04/2015 00:00:00,Alabama's Mobile Police Department To Deploy 300 AXON Cameras on EVIDENCE.com 'Officer Safety Plan',
13/04/2015 00:00:00,TASER to Release First Quarter 2015 Earnings on April 30,
09/04/2015 00:00:00,TASER Announces First Significant UK Order From The City of London For 178 AXON Body Cameras,
31/03/2015 00:00:00,"Charlotte Deploys 1,400 AXON Body Cameras on EVIDENCE.com 'Ultimate' Plan",
26/03/2015 00:00:00,San Diego Police Department Reports 47% Drop in Use of Force and 41% Reduction in Complaints When Using AXON Body Cameras by TASER,
12/03/2015 00:00:00,DeKalb County Police Department Purchases 400 TASER X26P Smart Weapons,
05/03/2015 00:00:00,TASER International to Present at the 27th Annual ROTH Conference,
03/03/2015 00:00:00,Tucson Becomes 16th Major City to Deploy TASER's AXON Body Cameras; Selects New EVIDENCE.com Unlimited Plan,
26/02/2015 00:00:00,TASER Reports Record Quarterly Revenue of $46.8 million,
19/02/2015 00:00:00,Harris County Constables Purchase 265 TASER X26P Smart Weapons,
05/02/2015 00:00:00,Maricopa County Sheriff Joe Arpaio Purchases 700 AXON Body Cameras From TASER,
21/01/2015 00:00:00,Cincinnati Police Department Purchases 380 TASER X26P Smart Weapons,
20/01/2015 00:00:00,"Cleveland, Tampa and Scottsdale Police Departments Outfit Officers with AXON Body Cameras",
15/01/2015 00:00:00,EVIDENCE.com Announces Webinar Showcasing Leadership In Cloud Security For Evidence Management In Law Enforcement,
14/01/2015 00:00:00,Sonoma County Sheriff's Office Deploys AXON Wearable Cameras with EVIDENCE.com,
09/01/2015 00:00:00,TASER to Release Fourth Quarter 2014 Earnings on February 26,
06/01/2015 00:00:00,"Los Angeles Police Department (LAPD) to Deploy More Than 3,000 TASER Smart Weapons to Front Line Officers",
23/12/2014 00:00:00,Florida's Pasco County Sheriff's Office Purchases 415 AXON Flex Cameras by TASER,
22/12/2014 00:00:00,"Ontario Provincial Police Orders 1,879 TASER X2 Smart Weapons",
17/12/2014 00:00:00,LAPD Becomes Largest US Police Department to Outfit Officers With AXON Body Cameras and EVIDENCE.com by TASER,
04/12/2014 00:00:00,TASER Continues to Build Momentum With AXON Body Cameras and EVIDENCE.com Solution,
26/11/2014 00:00:00,Winston-Salem Police Department Moves to Full Deployment of AXON Body Cameras With Additional Purchase of 623 Cameras From TASER,
18/11/2014 00:00:00,San Francisco Police Department Selects AXON Body Cameras and EVIDENCE.com From TASER,
14/11/2014 00:00:00,TASER International to Present at the Furey Research Hidden Gems Conference,
10/11/2014 00:00:00,TASER Announces Multiple Smart Weapons,
05/11/2014 00:00:00,"Police Forces From New Orleans, Norfolk, Savannah, and Miami Beach Choose TASER's AXON and EVIDENCE.com Solution",
30/10/2014 00:00:00,TASER Reports Quarterly Revenue of $44.3 Million,
22/10/2014 00:00:00,TASER Unveils New AXON Signal(TM) Wireless Activation Technology,
14/10/2014 00:00:00,Salt Lake City and Birmingham Police Departments to Manage All Digital Evidence With EVIDENCE.com Platform,
13/10/2014 00:00:00,"Australia, France, Poland and UK Expand TASER Deployment",
08/10/2014 00:00:00,Body Camera Momentum Builds as Adoption of AXON and EVIDENCE.com Accelerates,
06/10/2014 00:00:00,"Dallas Police Department Orders 2,250 TASER X26P Smart Weapons",
01/10/2014 00:00:00,TASER to Release Third Quarter 2014 Earnings on October 30,
30/09/2014 00:00:00,London Met Police Extending AXON Body-Worn Camera Pilot to Front Line Officers,
15/09/2014 00:00:00,Columbus and Knoxville Join Major Cities Moving to AXON Cameras and EVIDENCE.com,
15/09/2014 00:00:00,CORRECTION - TASER International,
04/09/2014 00:00:00,Cleveland Police Department Upgrades 300 TASER X26P Smart Weapons,
12/08/2014 00:00:00,Fresno Police Department Expands Body-Worn Camera Program With Purchase of 100 Cameras From TASER,
08/08/2014 00:00:00,"TASER International to Present in the Oppenheimer Technology, Internet & Communications Conference",
06/08/2014 00:00:00,Houston Police Department Completes Largest Upgrade to TASER X2 Smart Weapon,
05/08/2014 00:00:00,TASER Begins Q3 With a Bang; Announces Orders for Hundreds of AXON Cameras for July,
30/07/2014 00:00:00,TASER Reports Quarterly Revenue of $37.2 Million,
10/07/2014 00:00:00,TASER to Release Second Quarter 2014 Earnings on July 30,
09/07/2014 00:00:00,Salt Lake City and Escondido to Deploy Hundreds of AXON Cameras With EVIDENCE.com,
19/06/2014 00:00:00,Mesa Police Department Expands Body-Worn Video Program With TASER's AXON Flex Cameras and EVIDENCE.com,
17/06/2014 00:00:00,Los Angeles County Sheriff's Department Upgrades 883 TASER X26P Smart Weapons,
10/06/2014 00:00:00,Bret Taylor Joins TASER International Board of Directors,
29/05/2014 00:00:00,San Diego Police Department Makes Initial Purchase to Outfit 300 Officers With TASER's AXON Body-Worn Cameras,
13/05/2014 00:00:00,San Jose Police Department Upgrades 590 TASER X26P Smart Weapons,
12/05/2014 00:00:00,TASER International Authorizes Stock Buy-Back Program for up to $30 Million of Company Stock,
08/05/2014 00:00:00,TASER RISE Awards to Recognize Law Enforcement Officers and Agencies,
30/04/2014 00:00:00,TASER Reports Quarterly Revenue of $36.2 Million,
29/04/2014 00:00:00,TASER to Open New International Office in Amsterdam,
17/04/2014 00:00:00,Dallas County Hospital District Police Deploying EVIDENCE.com With 100 AXON Flex Body-Worn Video Cameras,
16/04/2014 00:00:00,"TASER Announces 3,279 in New TASER Orders",
15/04/2014 00:00:00,Metropolitan Police Select EVIDENCE.com & AXON for Body-Worn Video Pilot,
15/04/2014 00:00:00,London Met Police Select EVIDENCE.com & AXON for Body-Worn Video Pilot,
11/04/2014 00:00:00,TASER to Release First Quarter 2014 Earnings on April 30,
27/03/2014 00:00:00,Fort Worth Police Department Adds 400 AXON Flex Cameras With EVIDENCE.com,
26/03/2014 00:00:00,Danville Police Department Deploying EVIDENCE.com With 96 AXON On-Officer Cameras,
12/03/2014 00:00:00,TASER Announces Multiple Orders of Smart Weapons,
07/03/2014 00:00:00,Marcus Womack Promoted to General Manager of EVIDENCE.com,
26/02/2014 00:00:00,TASER Reports Record Quarterly Revenue of $40.0 Million,
19/02/2014 00:00:00,"EVIDENCE.com Expands Its Cloud-Based ""Virtual Evidence Room""",
06/02/2014 00:00:00,Marion County Sheriff's Department (GA) Purchases 258 TASER Smart Weapons,
05/02/2014 00:00:00,Coweta County Deploying EVIDENCE.com With 100 AXON On-Officer Cameras,
14/01/2014 00:00:00,TASER Awarded Permanent Injunction and Judgment Against Karbon Arms for Patent Infringement,
14/01/2014 00:00:00,TASER to Release Fourth Quarter 2013 Earnings on February 26,
08/01/2014 00:00:00,TASER Announces Numerous Significant Weapons Orders at End of 2013,
06/01/2014 00:00:00,"Las Vegas Metropolitan, New Orleans and Additional Police Departments Order More Than 1,000 AXON Cameras and EVIDENCE.com",
13/12/2013 00:00:00,"TASER Honored as One of the Best Medium-Sized Companies to Work for in 2014, a Glassdoor Employees' Choice Award",
12/12/2013 00:00:00,"Sanford Police Department Increases Transparency, Protecting Officers and Community With EVIDENCE.com",
10/12/2013 00:00:00,TASER Announces $5.8 Million in International Weapons Orders,
04/12/2013 00:00:00,TASER Announces Multiple Significant Weapons Deployments,
06/11/2013 00:00:00,Garland Police Department and Wisconsin State Patrol Purchase TASER Smart Weapons,
30/10/2013 00:00:00,TASER Reports Record Quarterly Revenue of $35.2 Million,
17/10/2013 00:00:00,New EVIDENCE Mobile App Simplifies Evidence Collection,
10/10/2013 00:00:00,"Familiar, Inc. to Join EVIDENCE.com Team",
08/10/2013 00:00:00,Jefferson Parish and Maricopa County Upgrade to 1277 TASER Smart Weapons With TASER CAM HD Recorders,
07/10/2013 00:00:00,"Albuquerque, Spokane and Brookfield Police Departments Purchase More Than 800 AXON Flex Cameras",
03/10/2013 00:00:00,TASER Lowers Prices for EVIDENCE.com and AXON Police Cameras,
01/10/2013 00:00:00,TASER to Release Third Quarter 2013 Earnings on October 30,
18/09/2013 00:00:00,Greensboro Police Department Expands EVIDENCE.com Deployment With 170 AXON Cameras,
16/09/2013 00:00:00,"Houston Police Department Upgrades 2,188 TASER X2 Smart Weapons",
11/09/2013 00:00:00,Topeka Police Department Expands AXON Flex Camera Program,
21/08/2013 00:00:00,TASER Announces Significant Smart Weapon Orders,
14/08/2013 00:00:00,Surprise Police Enhance Enforcement With Body Cams by TASER,
14/08/2013 00:00:00,Dallas/Fort Worth Police Agencies Deploy 245 AXON Flex Cameras by TASER,
31/07/2013 00:00:00,TASER Disrupts On-Officer Video Market With AXON Body,
31/07/2013 00:00:00,TASER Reports $32.2 Million Revenue and $0.08 EPS,
11/07/2013 00:00:00,TASER to Release Second Quarter 2013 Earnings on July 31 and Announces New IR Social Media Initiatives,
10/07/2013 00:00:00,New TASER StrikeLight Stunning Flashlight Announced,
27/06/2013 00:00:00,U.S. Army Purchases 500 TASER X26E Units,
03/06/2013 00:00:00,Louisiana State Police Deploy 943 TASER Smart Weapons,
22/05/2013 00:00:00,Metropolitan Nashville Police Department Deploys 400 TASER Smart Weapons,
08/05/2013 00:00:00,Kansas Highway Patrol Deploys 386 TASER Smart Weapons,
06/05/2013 00:00:00,Truckee Police Department Deploys AXON Flex On-Officer Cameras to All Patrol Officers,
30/04/2013 00:00:00,U.S. Army Expands TASER X26 CEW Program,
25/04/2013 00:00:00,TASER Q1 Revenues Increase 19 Percent to $30.4 Million,
24/04/2013 00:00:00,Chesapeake Police Department Expands AXON Flex Systems to All Field Officers,
18/04/2013 00:00:00,Cook County Sheriff's Office Deploys 250 AXON Flex Video Systems,
17/04/2013 00:00:00,"TASER to Release First Quarter 2013 Earnings on April 25, 2013",
16/04/2013 00:00:00,San Diego County Sheriff's Department Deploys New TASER X2,
15/04/2013 00:00:00,Open Letter to Shareholders: Progress in Our Video and Cloud Business,
08/04/2013 00:00:00,Cambridge University Study Shows On-Officer Video Reduces Use-of-Force Incidents by 59 Percent,
03/04/2013 00:00:00,TASER Telesales Delivers Record $3.3 Million in Q1 Bookings From Small-Size Agencies,
28/03/2013 00:00:00,Albuquerque Police Department Deploys 75 AXON Flex Systems,
26/03/2013 00:00:00,New York State Police and New Orleans Police Department Deploy New TASER X26P,
14/03/2013 00:00:00,Lewisville Police Department Orders TASER X2 Smart Weapons,
11/03/2013 00:00:00,TASER International (TASR) to Ring the NASDAQ Stock Market Opening Bell,
04/03/2013 00:00:00,U.S. Army and Atlanta Police Department Expand TASER Weapon Deployments,
27/02/2013 00:00:00,Federal Law Enforcement Agency Orders 662 TASER X26 CEWs,
26/02/2013 00:00:00,TASER Board of Directors Approves Buy Back up to $25 Million of Company Stock,
25/02/2013 00:00:00,Greensboro Police Department Deploys 125 AXON Flex Cameras,
21/02/2013 00:00:00,TASER International to Host Analyst Day,
21/02/2013 00:00:00,TASER Q4 Revenues Up More Than 50% to $32.1 Million,
13/02/2013 00:00:00,"TASER to Release Fourth Quarter 2012 Earnings on February 21, 2013",
11/02/2013 00:00:00,"Laramie PD, Lone Tree PD and Shenandoah County Sheriff's Office to Deploy AXON Flex and EVIDENCE.com",
07/02/2013 00:00:00,Sunnyvale Department of Public Safety Deploys New TASER X26P Smart Weapons,
15/01/2013 00:00:00,New TASER X26P Smart Weapon Announced,
07/01/2013 00:00:00,Lake Havasu Becomes First Agency to Fully Deploy TASER X2 and AXONFlex Units,
03/01/2013 00:00:00,"Phoenix Police Department Deploys 2,365 TASER X2s With New TASER Protection Plan",
03/01/2013 00:00:00,Salt Lake Valley Police Alliance Deploying 120 AXONFlex On-Officer Cameras,
21/12/2012 00:00:00,TASER Chosen to Represent Future of Business in New Documentary Film,
20/12/2012 00:00:00,TASER Receives Significant X2 Orders,
19/12/2012 00:00:00,"TASER Honors 100,000 Lives Saved by Partnering With Arbor Day Foundation",
13/12/2012 00:00:00,TASER Obtains Defense Verdict in Missouri Litigation,
06/12/2012 00:00:00,TASER Receives Four Large Orders,
26/10/2012 00:00:00,TASER Q3 Revenues Up 18% to $28.8 Million,
22/10/2012 00:00:00,Danny Dalal Joins TASER as VP of Software Engineering,
22/10/2012 00:00:00,"TASER to Release Third Quarter 2012 Earnings on October 26, 2012",
18/10/2012 00:00:00,TASER Announces Trademark Issue Concerning Antoine di Zazzo,
10/10/2012 00:00:00,On-Officer Video Systems by TASER Gain Market Traction,
02/10/2012 00:00:00,TASER Receives Two Large Orders for X2 ECD Upgrades,
01/10/2012 00:00:00,"TASER Foundation Donates $300,000 to International Association of Chiefs of Police",
17/09/2012 00:00:00,Sunbelt Law Enforcement Agencies Upgrade to New TASER X2 ECDs,
10/09/2012 00:00:00,Pittsburgh Bureau of Police Purchase AXON Flex On-Officer Cameras,
16/08/2012 00:00:00,New Jersey State Police Places First Order for TASER X2 ECDs With TASER CAM HD Video Recorders,
15/08/2012 00:00:00,TASER Receives Significant International Order,
26/07/2012 00:00:00,Colorado Springs Police Orders 525 TASER X2 ECDs,
26/07/2012 00:00:00,TASER International Reports Second Quarter Results,
25/07/2012 00:00:00,TASER Receives Significant International Orders,
20/07/2012 00:00:00,"TASER to Release Second Quarter 2012 Earnings on July 26, 2012",
20/06/2012 00:00:00,"TASER to Release Second Quarter 2012 Earnings on July 26, 2012",
20/06/2012 00:00:00,Modesto Police Purchase AXON Flex On-Officer Cameras,
18/06/2012 00:00:00,Agencies Accelerate TASER X2 Adoption,
12/06/2012 00:00:00,Oregon State Police Orders 454 TASER X2 ECDs,
23/05/2012 00:00:00,TASER Begins Shipping AXON Flex On-Officer Cameras,
16/05/2012 00:00:00,Michigan Department of Corrections and Hammond Police Department Deploy TASER X2 with TASER CAM HD,
26/04/2012 00:00:00,TASER International Reports First Quarter Results Q1 Sales of $25.6 Million With Operating Income of $6.5 Million,
23/04/2012 00:00:00,"TASER to Release First Quarter 2012 Earnings on April 26, 2012",
02/04/2012 00:00:00,Mesa Police Department Pre-Orders AXON Flex On-Officer Cameras,
19/03/2012 00:00:00,Mesquite (TX) Police Department Orders 200 TASER X2 ECDs,
19/03/2012 00:00:00,TASER Introduces Breakthrough AXON Flex Video System,
06/03/2012 00:00:00,Georgia Bureau of Investigation Orders 125 TASER X2 ECDs,
23/02/2012 00:00:00,TASER International Reports Fourth Quarter Results,
14/02/2012 00:00:00,"TASER to Release Fourth Quarter 2011 Earnings on February 23, 2012",
13/02/2012 00:00:00,Tom Smith Retires As Chairman of TASER International to Join New Start-up as CEO and Co-Founder,
07/02/2012 00:00:00,TASER Begins Shipping New TASER CAM HD Recorders,
25/01/2012 00:00:00,Chicago Police Department Upgrades to New TASER X2 ECD,
18/01/2012 00:00:00,/ CORRECTION - Chicago Police Department Upgrades to New TASER X2,
31/10/2011 00:00:00,TASER International Reports Third Quarter Results,
25/10/2011 00:00:00,"TASER to Release Third Quarter 2011 Earnings on October 31, 2011",
20/11/2010 00:00:00,"TASER International, Inc. Announces Commencement of Employee Stock Option Exchange",
27/10/2010 00:00:00,TASER International Reports Third Quarter Results,
21/12/2009 00:00:00,"TASER Foundation for Fallen Officers Raises More Than $550,000 From the 2009 ""Hold'em for Heroes"" Celebrity Weekend",
14/12/2009 00:00:00,TASER International Receives Order for 400 TASER X26 ECDs for Cleveland Division of Police,
07/12/2009 00:00:00,TASER International Receives Order for 140 TASER X26 ECDs From Colombian National Police,
24/11/2009 00:00:00,TASER International's AXON and EVIDENCE.COM Assists in Officer Involved Shooting Investigation and Exoneration,
23/11/2009 00:00:00,TASER International Announces New Jersey Approval of Law Enforcement Use of Electronic Control Devices,
23/11/2009 00:00:00,TASER International's 100th Lawsuit Dismissal Won on Summary Judgment,
10/11/2009 00:00:00,2500 TASER X26 ECDs Ordered by the United States Army Garrison Rock Island Arsenal,
06/11/2009 00:00:00,TASER Wireless eXtended Range Electronic Projectile (XREP) Successfully Deployed to Save Woman's Life,
05/11/2009 00:00:00,"TASER International Receives Order for 1,021 TASER X26 ECDs From DeKalb County Police Department",
04/11/2009 00:00:00,"TASER Foundation and Fort McDowell Casino Team Up to Host 2009 ""Hold'em for Heroes"" Celebrity Weekend Benefiting the Families of Fallen Law Enforcement Officers",
03/11/2009 00:00:00,TASER International Receives Order for 443 TASER X26 Electronic Control Devices From United States Marshals Service,
22/10/2009 00:00:00,TASER International Training Bulletin 15.0,
22/10/2009 00:00:00,TASER International Reports Third Quarter 2009 Results,
16/10/2009 00:00:00,"TASER International to Release 3rd Quarter 2009 Earnings On October 22, 2009",
