Date,Description,Link,EarningRelated
14/01/2013 00:00:00,lululemon athletica inc. Updates Guidance for Fourth Quarter of Fiscal 2012 Ahead of Presentation at ICR XChange,,0
02/01/2013 00:00:00,lululemon athletica inc. Announces Participation in the 15th Annual ICR XChange Conference,,0
06/12/2012 00:00:00,lululemon athletica appoints William H. Glenn to its Board of Directors,,0
06/12/2012 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2012 Results,,1
20/11/2012 00:00:00,"lululemon athletica canada inc., Calvin Klein, Inc. and G-III Apparel Group, Ltd. Reached a Settlement Agreement in Design Patent Litigation",,0
20/11/2012 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2012 Earnings Conference Call,,1
07/09/2012 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2012 Results,,1
24/08/2012 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2012 Earnings Conference Call,,1
07/06/2012 00:00:00,Lululemon Athletica Inc. Announces First Quarter Fiscal 2012 Results,,1
05/06/2012 00:00:00,lululemon athletica inc. Announces Participation in the William Blair & Company Growth Stock Conference,,0
24/05/2012 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2012 Earnings Conference Call,,1
25/04/2012 00:00:00,lululemon athletica Nominates Jerry Stritzke for Election to Its Board of Directors,,0
22/03/2012 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2011 Results,,1
08/03/2012 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Fiscal 2011 Earnings Conference Call,,1
11/01/2012 00:00:00,lululemon athletica Invites You to Yoga. Run. Party.,,0
10/01/2012 00:00:00,lululemon athletica inc. Raises Guidance for Fourth Quarter of Fiscal 2011,,1
06/01/2012 00:00:00,"lululemon athletica Founder Chip Wilson to Step Down as Chief Innovation and Branding Officer, Will Continue to Serve as Chairman of the Board of Directors",,0
04/01/2012 00:00:00,lululemon athletica inc. (LULU) CEO to Ring The NASDAQ Stock Market Closing Bell,,0
28/12/2011 00:00:00,lululemon athletica inc. Announces Participation in the 14th Annual ICR XChange Conference,,0
01/12/2011 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2011 Results,,1
18/11/2011 00:00:00,lululemon athletica Appoints Emily White to Board of Directors,,0
17/11/2011 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2011 Earnings Conference Call,,1
08/11/2011 00:00:00,"Get Ready to Shake, Shimmer and Sparkle, America! lululemon athletica Inc. Announces the Launch of ivivva athletica's US Online Store",,0
12/09/2011 00:00:00,lululemon athletica inc. Announces Participation in the Telsey Advisory Group 2nd Annual Fall Consumer Conference,,0
09/09/2011 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2011 Results,,1
26/08/2011 00:00:00,lululemon athletica Inc. Announces Second Quarter Fiscal 2011 Earnings Conference Call,,1
15/08/2011 00:00:00,"It's Time to Dance, Canada! lululemon athletica inc. Announces the Launch of ivivva athletica's Canadian Online Store",,0
02/08/2011 00:00:00,lululemon athletica Appoints Jacques Levy to Board of Directors,,0
07/07/2011 00:00:00,"lululemon athletica Appoints Chris Ladd as Senior Vice President, Global e-Commerce",,0
23/06/2011 00:00:00,lululemon athletica inc. Sets Record Date for Two-for-One Stock Split,,0
10/06/2011 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2011 Results,,1
09/06/2011 00:00:00,lululemon athletica inc. Stockholders Approve a Two-for-One Stock Split,,0
02/06/2011 00:00:00,lululemon athletica inc. Announces Participation in the William Blair & Company Growth Stock Conference,,0
