Date,Description,Link,EarningRelated
23/07/2015 00:00:00,Under Armour Reports Second Quarter Net Revenues Growth of 29%; Raises Full Year Outlook,,1
23/07/2015 00:00:00,Under Armour Announces Multi-Year Partnership with FC St. Pauli and Opening of New Munich Office,,0
21/07/2015 00:00:00,Under Armour Announces Official Partnership with USA Boxing through 2020 Olympic Games,,0
02/07/2015 00:00:00,"Under Armour, Inc. To Report Second Quarter 2015 Earnings and Webcast Conference Call",,1
15/06/2015 00:00:00,Letter from Kevin Plank to Stockholders Regarding Class C Common Stock,,0
15/06/2015 00:00:00,Under Armour Announces Creation of New Non-Voting Class C Common Stock,,0
28/04/2015 00:00:00,2015 Annual Meeting of Shareholders,,0
21/04/2015 00:00:00,Under Armour Reports First Quarter Net Revenues Growth of 25%; 20 Straight Quarters Above 20% Net Revenue Growth,,1
31/03/2015 00:00:00,"Under Armour, Inc. To Report First Quarter 2015 Earnings and Webcast Conference Call",,1
17/03/2015 00:00:00,Under Armour and São Paulo - Brazil's Most Decorated Football Club - Announce Partnership,,0
11/03/2015 00:00:00,Under Armour Opens First Digital Headquarters in Austin's Revitalized Seaholm Power Plant District,,0
05/03/2015 00:00:00,"Under Armour Opens Chicago's First ""Brand House"" Specialty Retail Store",,0
27/02/2015 00:00:00,Under Armour Signs Prolific Dutch Footballer Memphis Depay,,0
12/02/2015 00:00:00,NBA All-Star Stephen Curry and Oscar Winner Jamie Foxx Team Up in Under Armour's Biggest Ever Global Brand Campaign,,0
04/02/2015 00:00:00,Under Armour Reports Full Year Net Revenues Growth Of 32%; Announces Creation Of World's Largest Digital Health And Fitness Community,,1
04/02/2015 00:00:00,Under Armour Acquires Endomondo and MyFitnessPal to Establish the World's Largest Digital Health and Fitness Community,,0
14/01/2015 00:00:00,"Under Armour, Inc. To Report Fourth Quarter 2014 Earnings and Webcast Conference Call",,1
08/01/2015 00:00:00,Under Armour Debuts Stephen Curry's First Signature Shoe,,0
06/01/2015 00:00:00,"Under Armour Launches UA Record™, the Latest Addition to the Definitive Digital Health and Fitness Network",,0
30/12/2014 00:00:00,Under Armour Signs World Champion Professional Tennis Player Andy Murray,,0
23/10/2014 00:00:00,Under Armour Reports Third Quarter Net Revenues Growth of 30%; Raises Full Year 2014 Net Revenues and Operating Income Outlook,,1
16/10/2014 00:00:00,Under Armour Appoints Karen Katz President And CEO Of Neiman Marcus Group LTD LLC To Its Board Of Directors,,0
08/10/2014 00:00:00,US Soccer Star Jermaine Jones Joins Under Armour Athlete Roster,,0
07/10/2014 00:00:00,Under Armour Announces Plan to Build One Million Square Foot Distribution Center in Tennessee,,0
02/10/2014 00:00:00,"Under Armour, Inc. To Report Third Quarter 2014 Earnings and Webcast Conference Call",,1
16/09/2014 00:00:00,Emmanuel Mudiay Joins Under Armour Basketball Roster,,0
04/09/2014 00:00:00,Under Armour Unveils Newest Chapter of I WILL WHAT I WANT™ Campaign Featuring Gisele Bündchen,,0
27/08/2014 00:00:00,"Under Armour, Inc. to Present at the Goldman Sachs 21st Annual Global Retailing Conference",,0
26/08/2014 00:00:00,Under Armour Energizes Locust Point Neighbothood with Donation of Banner Field,,0
05/08/2014 00:00:00,Under Armour Appoints Former President of ESPN George Bodenheimer to its Board of Dierctors,,0
31/07/2014 00:00:00,"Under Armour Launches I WILL WHAT I WANT™, Its Largest Ever Global Women's Marketing Campaign",,0
