Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Reported Fiscal Yr  (yyyymm),Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.,EBITDA ($mil),EBIT ($mil),Net Income  ($mil),Cash Flow ($mil),Pretax Income ($mil),Receivables ($mil),Inventory ($mil),Book Value,Common Equity ($mil),Preferred Equity ($mil),Long Term Debt ($mil),Current Liabilities ($mil),Current Assets  ($mil),Intangibles ($mil),Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Annual Sales ($mil),Beta
"Applied Industrial Technologies","AIT","5898.94","NYSE","6","Industrial Products","Manufacturing - General Industrial ","154.97","202306","8.75","9.13","9.33","530.45697","474.60101","346.73901","398.93798","449.811","708.39501","501.18399","37.73","1458.43701","0","596.92602","540.34399","1646.807","813.96697","29.04199",".40929","3.05","2.12",".80916","4412.79","1.18"
"Assurant","AIZ","7900.43","NYSE","12","Finance","Insurance - Multi line","148.71","202212","11.13","12.57","14.1","640.20001","458.20001","276.6","791.5","349.89999","9497.39941","0","84.61","4228.70019","0","2129.8999","26398.5996","11189.5996","3504.69995","32.18899",".47467",".41",".42",".0641","10193",".53"
"Arthur J. Gallagher & Co.","AJG","49867.97","NYSE","12","Finance","Insurance - Brokerage","229.89","202212","7.74","8.7","9.92","2183.5","1583.90002","1114.19995","2261.20092","1327","16408.90039","0","48.44","9190.20019","0","5562.7998","21888","22834.5996","12861.5","36.58499",".5769","1.04","1.04",".29357","8550.6",".69"
"Akamai Technologies","AKAM","15565.78","NSDQ","12","Computer and Technology","Internet - Services","101.85","202212","5.37","5.93","6.42","1266.24804","669.09899","523.67199","1454.85705","658.00299","679.20599","0","28.18","4360.18701","0","2285.25805","818.86798","1969.56201","3205.55395","34.782",".53331","2","2.41","1.57578","3616.65",".75"
"Air Lease","AL","3763.82","NYSE","12","Transportation","Transportation - Equipment and Leasing","33.9","202212","-1.24","4.41","5.45","1474.47094","407.41299","-97.02401","970.03399","-138.765","0","0","61.73","6646.25683",".10599","18641.06054","696.89898","780.01702","0","73.386","2.75748",".41","1.12","1.11926","2317.3","1.74"
"Albemarle","ALB","15879.37","NYSE","12","Basic Materials","Chemical - Diversified ","135.21","202212","21.96","25.32","17.7","2857.25805","2556.41699","2689.81591","2887.09106","2433.44409","1376.78894","2076.031","85.97","8190.84716","0","3214.97192","2741.01489","5186.91699","1905.49694","25.809",".34786","1.74","1.13",".63264","7320.1","1.58"
"Alcon","ALC","34752.07","NYSE","12","Medical","Medical - Instruments","69.64","202212","2.24","2.75","3.12","1708","597","335","2219","463","1686","2109","40.69","19677","0","4541","2782","5193","18659","18.683",".22975","2.16","1.11",".50251","8717",".9"
"Allete","ALE","3068.51","NYSE","12","Utilities","Utility - Electric Power","53.78","202212","3.38","3.66","4.03","418","175.3","189.3","432","100.09999","137.89999","455.89999","58.69","3348.30004","0","1648.19995","716.20001","718","155.6","33.35499",".50048","1.17",".37",".17341","1570.7",".73"
"Allegro MicroSystems","ALGM","5323.06","NSDQ","3","Computer and Technology","Electronics - Semiconductors","27.69","202303","1.28","1.45","1.6","264.58898","213.682","187.35699","298.225","211.34599","126.72699","151.30099","5.36","966.815","0","25","165.32499","665.82897","80.069","2.3747",".02432","4.56","3.11","2.34568","973.65","1.85"
"Align Technology","ALGN","19415.84","NSDQ","12","Medical","Medical - Dental Supplies","190.56","202212","7.76","8.76","10.31","724.84997","599.057","361.57299","734.02899","599.057","859.68499","338.75201","47.54","3601.35791","0","0","1925.88696","2424.39111","503.27099","0","0","1.17","1.08",".63656","3734.64","1.66"
"Alight","ALIT","3694.72","NYSE","12","Computer and Technology","Internet - Software","6.72","202212",".57",".67",".68","474","81","-62","699","-41","678","0","8.89","5089","0","2792","2348","2816","7551","35.978",".56197","1.23","1.2",".91056","3132",".81"
"Alaska Air Group","ALK","4022.84","NYSE","12","Transportation","Transportation - Airline","31.77","202212","4.35","4.86","5.4","602","187","58","971","79","296","104","32.17","3816","0","3276","4493","3040","2038","34.207",".51991",".72",".65",".58758","9646","1.55"
"Alkermes","ALKS","3905.8","NSDQ","12","Medical","Medical - Biomedical and Genetics","24.7","202212",".34","1.49","2.02","-76.40201","-154.26401","-158.267","135.72099","-167.30401","287.96701","181.41799","7.69","1043.75305","0","290.26998","497.742","1130.30603","130.55299","18.41399",".2257","2.87","1.91","1.32783","1111.8",".6"
"Allstate","ALL","32746.42","NYSE","12","Finance","Insurance - Property and Casualty","125.62","202212","-.97","-2.24","12.44","-676","-1523","-1311","585","-1858","19194","0","51.12","15380","1970","7964","63290","24103","3502","34.08499",".59449",".37",".38",".07756","51412",".55"
"Allegion","ALLE","8472.53","NYSE","12","Industrial Products","Security and Safety Services","97.25","202212","5.69","6.75","6.94","688.29998","590.40002","458","599.90002","514.5","395.6","479","12.99","944.5","0","2081.8999","703.59997","1214.59997","2022","64.216","1.79456","1.93","1.05",".48322","3271.9","1.12"
"Ally Financial","ALLY","7069.94","NYSE","12","Finance","Financial - Consumer Loans","23.55","202212","6.06","3.23","3.98","4539","3212","1714","3366","2342","134735","654","34.81","10535","2324","17762","157752","140960","0","61.04299","1.91372",".93",".89",".03531","8428","1.34"
"Alnylam Pharmaceuticals","ALNY","19936.36","NSDQ","12","Medical","Medical - Biomedical and Genetics","155.66","202212","-9.3","-6.62","-4.8","-885.47498","-971.02503","-1131.15601","-1045.60596","-1126.99305","237.96299","128.962","-3.27","-158.22301","0","1016.94201","767.91497","2692.24707","0","","-2.49637","3.2","3.34","3.02809","1037.42",".48"
"Alarm.com","ALRM","2737.35","NSDQ","12","Industrial Products","Security and Safety Services","54.44","202212","1.95","1.68","1.94","105.591","59.73699","56.338","152.79899","56.59299","124.28299","115.58399","12.93","598.859","0","490.36999","164.936","891.08801","230.641","44.65599",".7636","5.41","4.7","3.94832","842.56",".93"
"Allison Transmission Holdings","ALSN","5121.39","NYSE","12","Auto-Tires-Trucks","Automotive - Original Equipment","51.25","202212","5.53","7.01","7.4","922","763","531","690","645","363","224","11.79","874","0","2501","480","866","2953","70.29499","2.36647","2.15","1.34",".58125","2769",".99"
"Altair Engineering","ALTR","4849.87","NSDQ","12","Construction","Engineering - R and D Services","59.64","202212",".89","1.04","1.08","13.46","-23.83601","-43.42901","112.896","-28.213","181.53799","0","7.63","569.73602","0","305.604","232.738","526.82598","556.65698","26.648",".36329","1.84","2.26","1.48359","572.22","1.46"
"Autoliv","ALV","8169.96","NYSE","12","Auto-Tires-Trucks","Automotive - Original Equipment","95.28","202212","4.4","6.97","9.51","1026","663","423","747","603","1962","969","29.54","2626","0","1054","3642","3714","1382","33.936",".51367","1.01",".75",".21499","8842","1.7"
"Antero Midstream","AM","5832.89","NYSE","12","Oils-Energy","Oil and Gas - Integrated - United States","12.36","202212",".79",".75",".96","841.83398","633.68402","326.242","588.34497","443.73599","87.66699","0","4.49","2192.31811","0","3361.28198","102.077","88.99299","1286.10302","60.56499","1.53581",".97",".87",".01299","919.98","2.34"
"Applied Materials","AMAT","109231.74","NSDQ","10","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","130.84","202210","7.7","7.9","7.8","8271","7827","6525","7200","7599","6068","5932","17.98","12194","0","5457","7379","15925","4039","26.565",".36175","2.3","1.35",".53191","25785","1.61"
"Amcor","AMCR","12381.51","NYSE","6","Industrial Products","Containers - Paper and Packaging","8.68","202306",".73",".68",".73","2131","1541","1048","1679","1251","1875","2213","2.78","4090","0","6653","4476","5308","6890","61.929","1.62665","1.19",".69",".27256","14694",".8"
"Advanced Micro Devices","AMD","155193.31","NSDQ","12","Computer and Technology","Electronics - Semiconductors","93.67","202212","3.5","2.74","3.97","5723","1272","1320","9955","1184","4128","3771","34.13","54750","0","2467","6369","15019","48295","3.015",".03108","2.18","1.77","1.11791","23601","1.79"
"AMETEK","AME","32221.25","NYSE","12","Computer and Technology","Electronics - Testing Equipment","139.84","202212","5.68","6.26","6.65","1831.30505","1511.87805","1159.54199","1634.09802","1428.69201","919.33502","1044.28405","35.06","7476.5122","0","2158.92797","1564.20202","2528.0581","8714.64648","21.29299",".27053","2.16",".95",".36084","6150.53","1.22"
"Amedisys","AMED","2985.92","NSDQ","12","Medical","Medical - Outpatient and Home Healthcare","91.15","202212","5.01","4.48","4.58","254.427","182.472","118.609","235.40199","160.244","296.785","0","33.51","1106.57299","0","419.42001","355.52899","388.96099","1388.56604","28.16399",".39206","1","1.09",".25926","2223.2",".98"
