Company Name,Ticker,Market Cap (mil),EBITDA ($mil),EBIT ($mil),Beta,Receivables ($mil),Inventory ($mil),Intangibles ($mil),Current Liabilities ($mil),Current Assets  ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Net Income  ($mil),Cash Flow ($mil),Annual Sales ($mil)
"AGNC Investment","AGNC","5653.31","-1177","-1190","1.22","6622","0","526","36663","8956","95","1634","6236","10.72","1.1669",".01493",".24",".24",".06366","-1190","1794","1590"
"Assured Guaranty","AGO","3105.91","229","229","1.11","1298","0","163","3620","2518","1675","0","5292","91.3","23.63599",".30951",".84",".7",".33701","124","267","723"
"Avangrid","AGR","14800.61","2229","1144",".42","1742","503","3400","4416","3210","8223","0","20342","53.05","28.66799",".4019",".69",".61",".21852","881","1986","7923"
"Agiliti","AGTI","2271.03","258.43301","78.65","1.28","207.753","70.132","1751.12597","197.38099","316.31298","1077.29296","0","946.32501","7.08","53.358","1.14397","1.69","1.25",".19468","30.21199","297.27099","1121.29"
"Anhui Conch Cement","AHCHY","13778.19","","6895.85693",".51","1628.95495","1014.53399","1314.67395","3509.92993","16389","986.48699","0","24352.32031","","","","","","","5095.19677","4807.25976","25542.15"
"Adecco","AHEXY","5274.11","811.27197","526.79998","1.33","5013.0288","0","5489.25585","5476.61279","6452.24707","3265.10595","0","4101.66503","12.41","44.30099",".79537","1.2","1.18",".26279","360.33099","860.89202","24911.43"
"Asahi Kasei","AHKSY","9597.22","3265.3479","1947",".74","0","4808.21582","7447.90283","8222.26464","11874.45996","3760.25097","0","15297.45019","20.04","21.406",".27235","1.58","","","-675.891","681.94598","20181.44"
"C3.ai","AI","3963.25","-186.086","-191.27601","1.52","80.271","0",".625","150.169","1060.43603","0","0","989.47698","8.44","0","0","7.66","","","-268.83899","-46.42","266.8"
"American International Group","AIG","39249.1","20255","15407","1.12","87212","0","0","345911","106116","27179","485","41750","63.31","7.8488",".08607",".3",".31",".05464","10276","8434","56437"
"Albany International","AIN","2737.18","218.86399","149.815","1.32","207.95599","139.05","212.02799","211.31599","838.43902","439","0","867.54302","28.77","35.36199",".54706","4.82","3.31","2.32558","95.762","189.763","1034.89"
"Air Liquide","AIQUY","88738.98","7153.31298","4555.24023",".8","3404.2871","2066.1101","17277.56054","9356.81054","8635.83203","10713.8496","0","25889.06054","9.89","29.27",".41383",".92",".7",".3383","2906.67211","5505.24902","31543.94"
"Apartment Income REIT","AIRC","5327.92","1441.37695","1090.432",".9","0","0","32.28599","911.29101","301.40499","3244.14306","2","2317.3059","14.97","60.46699","1.49636",".13",".33",".33074","904.432","1255.37695","773.72"
"Air China","AIRYY","12871.53","-608.32398","-2531.22413",".64","1027.05297","317.794","175.988","14201.05957","4711.49316","20067.39843","0","10203.82031","7.1","80.44899","4.11487",".3","","","-5739.13917","-4433.75196","8362.92"
"Applied Industrial Technologies","AIT","4973.63","413.414","356.57501","1.19","656.42901","449.82101","813.79498","499.62701","1359.52905","649.15002","0","1149.35498","35.72","30.187",".4324","3.14","1.82",".50693","257.414","314.25299","3810.68"
"Assurant","AIZ","6544.02","640.20001","458.20001",".54","9497.39941","0","3504.69995","26398.5996","11189.5996","2129.8999","0","4228.70019","82.71","32.624",".48421",".41",".42",".0641","276.6","791.5","10193"
"Arthur J. Gallagher & Co.","AJG","44192.52","2183.5","1583.90002",".7","16408.90039","0","12861.5","21888","22834.5996","5562.7998","0","9190.20019","46.14","37.922",".61086","1.06","1.04",".29357","1114.19995","2261.20092","8550.6"
"Ajinomoto","AJINY","21483.31","1759.29895","1169.81604",".08","1498.94702","1952.26794","1496.51696","2889.21606","5174.6289","2414.40087","0","6583.72216","11.23","24.29",".32082","1.91","","","673.953","1264.04101","10238.59"
"Aerojet Rocketdyne Holdings","AJRD","4417.51","185.69999","126.9",".57","126.59999","0","189.69999","747.09997","1069","288.39999","0","541.29998","6.98","33.609",".50621","1.53","1.43","1.26141","74","173.8","2237.6"
"Akamai Technologies","AKAM","14282.65","1266.24804","669.09899",".8","679.20599","0","3205.55395","818.86798","1969.56201","2285.25805","0","4360.18701","26.69","35.40499",".54811","2.03","2.41","1.57578","523.67199","1454.85705","3616.65"
"Embotelladora Andina","AKO.B","2415.33","321.587","321.587",".53","324.316","270.475","880.88299","1044.17004","1277.90197","0","0","971.74298","7.11","0","0","1.29",".96",".65421","138.04699","138.048","2922.57"
"Akero Therapeutics","AKRO","2605.52","-111.798","-112.033","-.93","0","0","0","19.083","355.173","9.84599","0","326.56201","6.33","7.48299",".08088","20.83","18.61","18.61201","-112.033","-111.798",""
"AkzoNobel","AKZOY","13240.18","1152.63793","764.91302","1.16","2578.15893","1941.78503","4290.25878","6053.98583","6578.67822","3510.59497","0","4791.77294","8.79","42.284",".73262","1.09",".77",".34006","370.867","838.747","11429.33"
"Air Lease","AL","4446.17","1474.47094","407.41299","1.77","0","0","0","696.89898","780.01702","18641.06054",".10599","6646.25683","60.75","74.25","2.88348","1.03","1.12","1.11926","-97.02401","970.03399","2317.3"
"Albemarle","ALB","24191.25","2857.25805","2556.41699","1.54","1376.78894","2076.031","1905.49694","2741.01489","5186.91699","3214.97192","0","8190.84716","80.61","25.475",".34182","1.9","1.13",".63264","2689.81591","2887.09106","7320.1"
"Alcon","ALC","38863.9","1708","597",".89","1686","2109","18659","2782","5193","4541","0","19677","40.53","18.75",".23076","2.05","1.11",".50251","335","2219","8717"
"Allete","ALE","3434.96","418","175.3",".74","137.89999","455.89999","155.6","716.20001","718","1648.19995","0","3348.30004","58.58","34.333",".52282","1.23",".37",".17341","189.3","432","1570.7"
"Alfa Laval","ALFVY","15123.06","839.75299","608.06896","1.39","1290.41198","1227.21496","3022.38891","2715.031","3048.9729","356.67898","0","3771.31005","7.83","27.797",".38498","1.33","","","446.58499","446.58499","5170.49"
"Alamo Group","ALG","2052.66","196.02699","148.671",".99","318.497","352.553","367.199","190.50599","727.21002","286.94299","0","785.35998","68.52","30.22699",".43322","4.14","1.97",".29479","101.928","150.25799","1513.62"
"Allegro MicroSystems","ALGM","7384.56","264.58898","213.682","1.69","126.72699","151.30099","80.069","165.32499","665.82897","25","0","966.815","5.05","2.5206",".02585","4.03","3.11","2.34568","187.35699","298.225","973.65"
"Align Technology","ALGN","23349.15","724.84997","599.057","1.58","859.68499","338.75201","503.27099","1925.88696","2424.39111","0","0","3601.35791","45.48","0","0","1.16","1.08",".63656","361.57299","734.02899","3734.64"
"Alight","ALIT","4880.93","474","81",".7","678","0","7551","2348","2816","2792","0","5089","8.93","35.976",".5619","1.2","1.2",".91056","-62","699","3132"
"Allianz","ALIZY","90576.26","14392.18066","11681.26757","1.09","62698.67968","0","19913.03906","728527.625","86481.59375","22110.8496","0","58202.96875","14.43","27.531",".37989",".12",".12",".03264","7099.15722","9811.30273","160882.09"
"Alaska Air Group","ALK","5919.72","602","187","1.52","296","104","2038","4493","3040","3276","0","3816","28.94","32.73199",".48658",".64",".65",".58758","58","971","9646"
"Alkermes","ALKS","4893.94","-76.40201","-154.26401",".6","287.96701","181.41799","130.55299","497.742","1130.30603","290.26998","0","1043.75305","6.05","22.36199",".28802","2.25","1.91","1.32783","-158.267","135.72099","1111.8"
"Allstate","ALL","28777.03","-676","-1523",".58","19194","0","3502","63290","24103","7964","1970","15380","58.6","32.728",".54872",".41",".38",".07756","-1311","585","51412"
