Code,Name,Naics1,Nacis2,Duns,Website
210,Mk Diamond Products Inc,333991,332216,14-438-4153 - Archived Record,
211,Hartford Insurance Co Illinois,524210,,78-695-4776 - Archived Record,
212,Acertus,488210,,00-345-1189 - Archived Record,amerifleet.com
213,First Source LLC,445299,311340,96-872-9348 - Archived Record,
214,Sabine Pilot Service Inc,488330,,07-418-6040,sabinepilots.com
215,Dialogdirect LLC,561422,,07-955-2876,dialog-direct.com
216,Texas Childrens Hospital,621112,622110,07-461-5394,texaschildrens.org
217,Barton Mines Company LLC,212399,327910,00-699-3331 - Archived Record,barton.com
218,Sorrento Therapeutics Inc,541714,,00-506-1273 - Archived Record,
219,Celsius Holdings Inc,311930,,79-146-2950 - Archived Record,celsius.com
220,Hob Entertainment LLC,711190,,79-607-8426,houseofblues.com
221,Sumitomo Metal Mining America,213114,,04-241-4420 - Archived Record,smm.co.jp
222,Buccini/Pollin Group Inc,237210,,92-976-6178 - Archived Record,
223,Schick Manufacturing Inc,332215,,19-386-6378,shaving.com
224,Chamberlain Group LLC,335999,,08-438-3041,chamberlaingroup.com
225,Ppc Broadband Inc,334417,,00-296-8246,ppc-online.com
226,Kentucky Med Svcs Fndation Inc,541219,,09-538-5068,kmsf.com
227,Whiteco Industries Inc,541850,721110,00-693-9706 - Archived Record,
228,L&B Transport LLC,562112,,18-764-0891 - Archived Record,
229,Arlee Home Fashions Inc,314120,,08-062-6294,
230,TS Tech Americas Inc,423990,336360,07-880-1572,tstech.com
231,Myron Corp,541890,,00-200-2228,myron.com
232,Shearer Supply Inc,423730,,10-912-4177 - Archived Record,shearersupply.com
233,Stavros Ctr For Ind Living Inc,624190,,07-923-0934,stavros.org
234,Trans World Corporation,713210,721120,87-438-0546 - Archived Record,transwc.com
235,Prime Management Group Inc,531311,,18-345-4800 - Archived Record,
236,John Wiley & Sons Inc,513130,513120,00-151-9248,wiley.com
237,Golf Galaxy LLC,451110,,96-121-5894 - Archived Record,
238,Global Value Lighting LLC,335110,,08-068-0017 - Archived Record,globalvaluelighting.com
239,Starbucks Coffee Intl Inc,722513,,78-947-7325 - Archived Record,starbucks.com
240,American Trailer World Corp,336214,,08-073-3695,baincapital.com
241,Horizon Wind Energy NW I LLC,221115,,14-272-0601 - Archived Record,
242,Colorado Dept Agriculture,926140,,87-813-7389 - Archived Record,
243,Woodwind & Brasswind Inc,459140,,03-270-0580,wwbw.com
244,Inteplast Engineered Films Inc,326111,,00-833-5171 - Archived Record,inteplastef.com
245,Chameleon Beverage Company Inc,312112,424490,94-849-6542,chameleonbeverage.com
246,OReilly Automotive Inc,441330,,96-878-3162,corporate.oreillyauto.com
247,Simonds International LLC,333243,,18-812-3996,simondsint.com
248,G & H Towing Company,488330,,04-112-6509 - Archived Record,
249,South Coast Lumber Co,321212,321113,00-903-2871,socomi.com
250,Cummins Pacific LLC,333618,423610,78-722-3296 - Archived Record,cummins.com
251,K W Brock Directories Inc,513140,,03-071-4869,
252,Columbia West Virginia Corp,113310,,78-496-9230 - Archived Record,columbiaforestproducts.com
253,Aurora Capital Partners LP,525910,,55-628-8587 - Archived Record,auroracap.com
254,Modernistic Carpet Cleaning Co,561740,,14-427-7014,modernistic.com
255,Newcomer Funeral Svc Group Inc,812210,812220,03-141-2570,newcomerfamily.com
256,Syntec Industries LLC,314110,423220,18-350-8548,syntecind.com
257,Haeco USA Holdings LLC,488190,,07-949-9378,haeco.aero
258,Qorvo Inc,334515,334413,02-620-6752 - Archived Record,qorvo.com
259,Traffic Safety Consultants Inc,611692,,92-729-7606,comedyschoolonline.com
260,HB&g Building Products Inc,321918,321113,00-339-7734,hbgcolumns.com
261,Argos USA LLC,327310,423320,07-831-8694,argos-us.com
262,Alaska Tanker Company LLC,483113,,06-806-8050,aktanker.com
263,St Francis Hospital Roslyn NY,622310,,06-597-4990 - Archived Record,chsli.org
264,Dal Global Services LLC,561312,624310,01-139-4330 - Archived Record,deltaglobalsecurity.com
265,Ahlstrom-Munksjo NA Specialty,322121,,79-044-3449 - Archived Record,aabiom.com
266,Transportation Maryland Dept,541618,,87-813-7462,mdot.maryland.gov
267,Revelation Energy LLC,213114,,83-327-0759,
268,Ogden Directories Inc,511140,,79-296-5865 - Archived Record,ogdennews.com
269,Golden Manufacturing Co Inc,315210,315220,08-953-5397 - Archived Record,
270,Naxos of America Inc,711130,,80-525-5916 - Archived Record,naxos.com
271,Kyocera Senco Indus Tls Inc,332722,333243,08-008-9778 - Archived Record,senco.com
272,Westfield America Inc,531120,,07-992-8776,urw.com
273,Ferrellgas LP,457210,,86-101-7291,ferrellgas.com
274,Sonoco Plastics Inc,326121,322220,07-933-8432,sonoco.com
275,Harbor Industries Inc,337212,339950,00-602-7536,harbor-ind.com
276,Builder Services Group Inc,238310,,02-008-8633,truteam.com
277,Prayon Inc,325312,,18-774-8426,prayon.com
278,Embassy of Republic of Palau,928120,,00-210-9762,palauembassy.org
279,Meritor Inc,336350,332613,78-808-2092,meritor.com
280,Louis Vuitton North Amer Inc,448320,423990,18-511-8684 - Archived Record,louisvuitton.com
281,Pamarco Technologies LLC,333244,,86-788-6863 - Archived Record,pamarco.com
282,Pet Supermarket Inc,424990,459910,87-888-8866,
283,Detroit Institute of Arts,712110,459420,02-008-8647,dia.org
284,W VA Dept Envirnmntal Prtction,924110,,92-735-1346 - Archived Record,
285,New Teacher Center,611691,,82-919-2017,newteachercenter.org
286,Destination Xl Group Inc,448190,,08-653-0011 - Archived Record,
287,BHP Holdings (resources) Inc,212230,331420,19-719-4058,bhp.com
288,Indiana Dept Homeland SEC,922190,,87-829-8520 - Archived Record,
289,Tecniflex Inc,811219,,78-915-5467 - Archived Record,
290,Garda CL West Inc,561613,,62-525-2465,
291,Griffin Industries LLC,311613,,00-425-6509,griffinind.com
292,Ghd Services Inc,541620,,15-350-8080,ghd.com
293,Clemens Cleaning Village Inc,532281,,05-889-0864 - Archived Record,
294,Component Assembly Systems Inc,238350,238310,01-295-0804,componentassembly.com
295,Jupiter Aluminum Corporation,331315,331318,78-679-4099,jupiteraluminum.com
296,Balfour Beatty LLC,236220,541310,15-189-8053,balfourbeatty.com
297,Vineyard Vines LLC,424350,424350,02-057-1712,vineyardvines.com
298,Oakshire Mushroom Farm Inc,111411,,18-538-7081,oakshire.com
299,Porocel Industries LLC,331313,,01-584-8922,corporate.evonik.com
300,Ace Bayou Corp,337126,,87-271-7087,acebayou.com
301,North American Breweries Inc,312120,,82-978-2445,fifcousa.com
302,Templeton Worldwide Inc,523110,523930,80-123-0913 - Archived Record,franklintempletonindia.com
303,Fortress Trnsp Infrstrcture In,488999,,07-982-1557,ftandi.com
304,Evolent Health Inc,621999,,04-520-5511 - Archived Record,
305,Employer Services Corporation,561330,541219,92-778-0791 - Archived Record,
306,St John Health System Inc,713940,531312,18-549-4465,stjohnhealthsystem.com
307,Ruskin Company,334512,332323,08-551-0415,ruskin.com
308,All States Asphalt Inc,423320,,01-965-9408 - Archived Record,asmg.com
309,Continuum Energy LLC,221210,,00-967-7104 - Archived Record,
310,Mitsubshi Chem Crbn Fibr Cmpst,335991,,78-572-0798,mccfc.com
311,Sodecia Auto Detroit Corp,336370,,11-293-4927 - Archived Record,
312,Cargo Services Inc,481112,481212,84-792-2374,cargo-services.com
313,Aramco Services Company,541330,541611,07-220-0694 - Archived Record,aramcoservices.com
314,Girvan Institute Technology,927110,561990,10-268-4292 - Archived Record,
315,The Dream Center Foundation,813319,,08-025-0944 - Archived Record,dreamcenter.org
316,US Smokeless Tobacco Company,312230,,07-842-6226 - Archived Record,altria.com
317,Royston Holding LLC,541420,238130,94-243-2274,roystonllc.com
318,Hexion LLC,325211,325998,16-649-5924 - Archived Record,hexion.com
319,Wss Eurostar Inc,448210,,12-087-7865 - Archived Record,
320,Harlingen Shrimp Farms Ltd,112512,,01-289-7252,harlingenshrimp.com
321,Gerdau USA Inc,332312,332618,19-408-1451,gerdau.com
322,Capitol Reg Edcatn Cncil Fndti,611710,,06-189-6424,crec.org
323,Tire Centers LLC,423130,441320,14-422-3609 - Archived Record,
324,Petersen-Dean Inc,238160,,60-995-7162,petersendean.com
325,Barnies Coffee & Tea Co Inc,445299,722513,03-967-7760 - Archived Record,barniescoffee.com
326,Standard Plumbing Sup Co Inc,423720,,05-856-9005 - Archived Record,
327,Grain Buyers & Warehouse,926150,,87-829-8702 - Archived Record,
328,Electronic Assembly Corp,334418,334419,09-436-5772 - Archived Record,
329,Continental Distributors Inc,454210,722320,96-271-8953 - Archived Record,
330,Prestige Cruises Intl Inc,483211,,07-987-5335 - Archived Record,
331,Tootsie Roll Industries LLC,311340,,96-980-3175 - Archived Record,tootsie.com
332,Guidos Quality Frt & Prod Inc,445230,,03-737-0061 - Archived Record,guidosfreshmarketplace.com
333,Wincup Holdings Inc,326140,326199,06-881-9689 - Archived Record,
334,Ligado Networks LLC,517410,,10-252-3391,ligado.com
335,Amesbury Acqstion Hldngs 2 Inc,332510,,60-738-1142 - Archived Record,
336,BKM Total Office Texas LLC,811420,423210,19-692-5952 - Archived Record,bkmtexas.com
337,Applebees International Inc,722511,533110,19-198-8468 - Archived Record,applebees.com
338,Spa World Corporation,326191,,78-507-6915,swcorp.com
339,Master Containers Inc,326140,,04-955-2797 - Archived Record,
340,World Wide Technology LLC,423430,,61-494-8396 - Archived Record,wwt.com
341,Metal Exchange Corporation,331313,423930,07-198-6160,metalexchangecorp.com
342,Circor Instrmentation Tech Inc,334514,,00-200-2699 - Archived Record,
343,Coin Meter Co Inc,812310,532289,06-345-2924,coinmeter.com
344,World Fuel Services Corp,424720,,13-150-4342,wfscorp.com
345,SLM Corporation,522299,522291,16-000-2218,salliemae.com
346,Cui Global Inc,334514,541330,00-157-3398 - Archived Record,cuiglobal.com
347,RI Dept Attorney General,922130,,92-992-7747 - Archived Record,
348,Ameriflight LLC,481219,,05-980-3528,ameriflight.com
349,Bolttech Mannings Inc,333991,423710,03-522-3445,bolttechmannings.com
350,Tropitone Furniture Co Inc,337126,337214,00-409-5832,tropitone.com
351,Pennymac Financial Svcs Inc,522390,523930,07-874-8445 - Archived Record,pennymacfinancial.com
352,Sap America Inc,541511,,18-361-6317 - Archived Record,sap.com
353,General Atomic Aeron,336411,,82-468-4229 - Archived Record,ga-asi.com
354,Citicorp Banking Corporation,522390,,15-458-1771 - Archived Record,
355,Newport Television LLC,711310,,01-418-5499 - Archived Record,
356,AJM Packaging Corporation,322219,322220,00-538-3898 - Archived Record,
357,North County Transit District,485111,,02-051-8361 - Archived Record,
358,Kelly Spicers Inc,424110,424990,60-448-3198,kellyspicers.com
359,Crossing Automation Inc,333242,,61-247-9779 - Archived Record,brooks.com
